shinmomo object/OAM polling tracer loaded.
memory domain=WRAM
DUMP_INTERVAL=30
TRACE_OBJ_OAM,frame=48709,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=360,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 62 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=01/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=01/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=01/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=01/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48711,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=364,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 62 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=1F/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=07/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=0F/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=0F/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=0F/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48719,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=363,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 22 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=17/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=07/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=07/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=07/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48720,tag=periodic,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=363,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 22 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=16/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=08/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=06/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=06/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=06/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48727,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=360,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 22 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=0F/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=01/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=0F/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=0F/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=0F/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48729,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=361,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 62 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=0D/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=0D/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=0D/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=0D/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48739,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=360,nz_oam_mirror=148,oam_head=77 72 18 62 70 6E 02 22 70 5E 4A 22 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=03/ea7=02/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=08/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=03/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=03/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=03/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48743,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=362,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 22 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=1F/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=05/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=0F/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=0F/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=0F/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48749,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=363,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 62 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=19/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=09/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=09/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=09/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48750,tag=periodic,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=363,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 62 70 4E 62 62 60 4E 80 62 80 4E 88 62 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=18/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=08/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=08/ea7=02/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=08/ea7=02/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5B/e27=56/e67=08/ea7=02/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4B/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=64/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48759,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=359,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 22 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=0F/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=00/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=0F/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=37/e27=52/e67=0F/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=0F/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
TRACE_OBJ_OAM,frame=48769,tag=changed,domain=WRAM,0A1B_dirty=01,0A1C_oam_work=7A,active_0A61=05 FF 0C 02 03 06 07 08 09 0A 0B 04 0D 0E 0F 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,logical_1569=01 00 00 00 00 00 00 00 00 00,nz_obj_fields=360,nz_oam_mirror=148,oam_head=78 6F 08 62 70 6E 02 62 70 5E 4A 62 70 4E 62 22 60 4E 80 22 80 4E 88 22 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00 00 E0 00 00,slots=s00/b25=00/ae5=0E/e27=04/e67=05/ea7=00/x=00:00/y=00:00/ce5=00 | s01/b25=00/ae5=01/e27=00/e67=00/ea7=00/x=00:00/y=00:00/ce5=00 | s02/b25=22/ae5=07/e27=00/e67=00/ea7=00/x=00:70/y=00:7F/ce5=00 | s03/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:8F/ce5=00 | s04/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:9F/ce5=00 | s05/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s06/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s07/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s08/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s09/b25=20/ae5=00/e27=00/e67=00/ea7=00/x=00:70/y=00:AF/ce5=00 | s0A/b25=20/ae5=00/e27=8B/e67=09/ea7=02/x=00:70/y=00:AF/ce5=00 | s0B/b25=20/ae5=00/e27=3E/e67=05/ea7=00/x=00:70/y=00:AF/ce5=00 | s0C/b25=23/ae5=38/e27=52/e67=05/ea7=00/x=00:70/y=00:6F/ce5=00 | s0D/b25=23/ae5=5A/e27=56/e67=05/ea7=00/x=00:70/y=00:5F/ce5=00 | s0E/b25=23/ae5=4A/e27=00/e67=00/ea7=00/x=00:60/y=00:5F/ce5=00 | s0F/b25=23/ae5=63/e27=00/e67=00/ea7=00/x=00:80/y=00:5F/ce5=00
